i1.81,-0.50,-4.25
u5,1571,27.09
i1.63,-0.56,-4.19
u6,17782,306.59
i1.56,-0.50,-4.13
u7,0,0.00
i1.56,-0.50,-4.13
u0,0,0.00
i1.75,-0.44,-4.13
u1,1546,26.66
i1.81,-0.44,-4.06
u2,4871,83.98
i1.88,-0.50,-4.19
u3,2722,46.93
i1.75,-0.50,-4.19
u4,12008,207.03
i1.56,-0.44,-4.06
u5,1523,26.26
i1.44,-0.38,-3.94
u6,6560,113.10
i1.44,-0.44,-3.81
u7,0,0.00
i1.56,-0.44,-3.75
u0,6590,113.62
i1.88,-0.44,-3.75
u1,1540,26.55
i2.13,-0.50,-3.75
